name
Aakriti Kumar
Aaron Clauset
Aaron D Nichols
Aaron Reeves
Aaron Schein
Abdulaziz Alhumaidy
Abdullah Almaatouq
Abhisek Dash
Abraham Israeli
Achim Edelmann
Achyutarama R Ganti
Adam (Zhengzi) Zhou
Adam Stefkovics
Adel Daoud
Adeline Clarke
Adiba Mahbub Proma
Adolfo Fuentes-Jofre
Adrien Letellier
Adriënne Mendrik
Agnieszka Czaplicka
Agnieszka Falenska
Agostino Merico
Agustin Orozco
Ahmet Furkan Ün
Aimee Smith
Akhil Arora
Akihiro Kameda
Akiko Matsuo
Akira Matsui
Akrati Saxena
Alec Kirkley
Alejandro De la fuente Cuesta
Aleksandra Torbica
Alessandro Cortese
Alessandro Flammini
Alessandro Galeazzi
Alessandro Lomi
Alessandro Pluchino
Alessandro Riboni
Alessia Galdeman
Alessia Melegaro
Alex Berke
Alex Koch
Alex Pentland
Alexander Hartland
Alexander Mintz
Alexandra Rottenkolber
Alexandra Segerberg
Alexandre Bovet
Alexandre Evsukoff
Alexandria Leto
Alexi Quintana Mathé
Ali Salloum
Ali Tafti
Aliakbar Akbaritabar
Alina Herderich
Alisa Kanganis
Allison Koenecke
Almog Simchon
Alvin Zhou
Amal Labbouz
Amir Ghasemian
Amir Goldberg
Amir Tohidi Kalorazi
AmirEmad Ghassami
Amirhossein Nakhaei
Amit Goldenberg
Amr Hilal
Amy L Murphy
Ana Ma
Ana Vranić
Anastasia Giachanou
Anastasia Golovin
Anastasia Menshikova
Anastassia Vybornova
Anca Balietti
Anders Giovanni Møller
Anders Weile
Anding Wang
Andrea Bamberg Migliano
Andrea Baronchelli
Andrea Baños-Ramos
Andrea Civilini
Andrea Lo Sasso
Andrea Rapisarda
Andrea W Wen-Yi
Andreas Bjerre-Nielsen
Andreas Christian Schneider
Andreas Flache
Andreas Jungherr
Andreas Kaltenbrunner
Andreas Maier
Andreas Spitz
Andres CASTRO
Andres Karjus
Andrew Crooks
Andrew Halterman
Andrew Lippman
Andrew Piper
Andrew Renninger
Andrew Schauf
André Calero Valdez
André Mata
Andrés Gvirtz
Ane Rahbek Vierø
Angel Hsing-Chi Hwang
Angel Sánchez
Angelina Voggenreiter
Angélica Sousa da Mata
Aniko Biro
Anita Keshmirian
Anjalie Field
Anku Rani
Anli Peng
Ann Nowe
Anna Beers
Anna Bertani
Anna De Simoni
Anna Sara Ligeti
Anna Seo Gyeong Choi
Anna Thoma
Anna-Carolina Haensch
Annabella Sakunkoo
Anne C Kroon
Anne Driscoll
Anne Maass
Anne-Marie Nussberger
Annett Heft
Annika Fredén
Annina Claesson
Anthony Olejniczak
Anthony Paik
Antoine Vendeville
Anton Gollwitzer
Antonina Zhiteneva
Aparna Ananthasubramaniam
Aparna Balagopalan
Arda Astam
Ardyn Vivienne Olszko
Arianna Pera
Ariel Flint Ashery
Ariella Kristal
Arkadiusz Lipiecki
Armin Pournaki
Arnout van de Rijt
Arthur Thomas Edward Capozzi Lupi
Arti Thakur
Ashley Whillans
Ashley Young
Astha Verma
Asya Zhelyazkova
Atushi Ishikawa
August Lohse
Austin van Loon
Aviral Chawla
Axel Alness Borg
Axel Bruns
Ayan-Yue Gupta
Ayush Kumar
Azadeh Alavi
Azza Bouleimen
Babak Hemmatian
Babak Heydari
Baird Howland
Balázs Lengyel
Bangzhao Shu
Bao Tran Truong
Barbara Kamińska
Bastiaan Bruinsma
Bedoor AlShebli
Belinda Wade
Bella Struminskaya
Belén C Saldías Fuentes
Ben Dennes
Ben Lasse Wolf
Bendegúz Váradi
Benjamin Frank Maier
Benjamin Harack
Benjamin Ooghe-Tabanou
Benjamin S. Manning
Beom Jun Kim
Bernhard Haslhofer
Bernice Pescosolido
Betul Ozturan
Bijin Joseph
Binglu Wang
Björn Komander
Björn Lindström
Björn Pelzer
Björn Ross
Blas Kolic
Bogang Jun
Bogdan Mursan
Bojan Evkoski
Bowen Yi
Boyu Wang
Brahmani Nutakki
Bramantyo Ibrahim Supriyatno
Brandon M. Stewart
Brendan O'Connor
Brennan Klein
Brian Uzzi
Bruce Lambert
Bruno Damásio
Bruno Gabriel Salvador Casara
Bruno Lepri
Bruno T. Sugano
Bryan Li
Bufan Gao
Burak Ozturan
Burint Bevis
Byunghwee Lee
Byungkyu Lee
Béatrice Mazoyer
Cai Yang
Caixi Chen
Callie Clark
Calvin Isch
Cameron Hickey
Cameron Lai
Camilla Spadavecchia
Carina I Hausladen
Carl Gershenson
Carl Nordlund
Carl Zhou
Carl Öhman
Carlo Romano Marcello Alessandro Santagiustina
Carolina Coimbra Vieira
Caroline Bruckner
Caroline Violot
Carsten Schwemmer
Carten Allen
Caspar J. Van Lissa
Cassandra Gunasekaram
Cate Heine
Catherine A. Gimbrone
Cathy DiGennaro
Celina Kacperski
Ceren Budak
Cesar A Hidalgo
Cesar Marin-Flores
Chaeeun Han
Chan Young Park
Chang Liu
Chaoqun Ni
Charles Dorison
Charles Rahal
Charlotte Ren
Chen Zhong
Cheng-Ying Wu
Chhandak Bagchi
Chiara Chiavenna
Chiara Drolsbach
Chiara Valentin
Chiara Zappalà
Chin-wing Leung
Ching Jin
Chloe Eggleston
Chris Callison-Burch
Chris D.R.O. Starke
Chris Kempes
Christian Bretter
Christian Geiß
Christian Steglich
Christian Vedel
Christo Wilson
Christof Nägel
Christof Weinhardt
Christofer Edling
Christoph Engel
Christoph Kern
Christoph Müller
Christopher K. Frantz
Christopher Michael Dobmeier
Chrysoula Kosma
Chun-Ming Lai
Cinoo Lee
Ciro Beneduce
Claire Kelling
Claire Wonjeong jo
Clara Egger
Clara Eminente
Clara-Gabriela Clipea
Clare Llewellyn
Claudia Acciai
Clemens Stachl
Collin Coil
Cong LIN
Connor Thomas Jerzak
Cook Hyun Kim
Coralie Chevallier
Corinna Coupette
Cornelius Puschmann
Corrado Monti
Cristian E Candia
Cristian Jara-Figueroa
Cristina Mendonça
Cuihua Shen
Dagoberto Quevedo
Dalton C. Conley
Damian Trilling
Dan Jurafsky
Dana Calacci
Danaé Metaxa
Dandan Qiao
Daniel Abrams
Daniel Bischof
Daniel Cowen
Daniel E. Ho
Daniel G. Goldstein
Daniel Juhász Vigild
Daniel Larremore
Daniel Matter
Daniel Molitor
Daniel O'Brien
Daniel Racek
Daniel Romero
Daniel Wojahn
Daniela Braun
